utterance,intent
"""vI'd like to order a new batch of my medication.""",medication
"""May I wondering a refill of my prescription, please?""",medication
"""May I requset a refill of my prescription, please?""",medication
"""Can you filling my prescription for me?""",medication
"""Ca you fill my prescription for me?""",medication
"""I need to replenish my supply of drug.""",medication
"""I need to replenish my supply of emdication.""",medication
"""Could you get my prescription poised for me?""",medication
"""Could you gt my prescription ready for me?""",medication
"""I'm here to collects my prescription.""",medication
"""I'm here to collect my Bprescription.""",medication
"""Please prepare my medicines for me.""",medication
"""lPease prepare my medication for me.""",medication
"""Can I get a prescription fills, please?""",medication
"""Can I get a prescription filld, please?""",medication
"""Could you refill my prescribing for me?""",medication
"""oCuld you refill my prescription for me?""",medication
"""I need to refill my medication supplying.""",medication
"""I ened to refill my medication supply.""",medication
"""May I reorder my prescribing?""",medication
"""May I reorder my pArescription?""",medication
"""Is it might to get a prescription filled today?""",medication
"""Is it possible to get a prescription filled toay?""",medication
"""Can I elects up my medication order?""",medication
"""Can I pick up my mudication order?""",medication
"""I'd loves to request a prescription refill.""",medication
"""'d like to request a prescription refill.""",medication
"""Could you dispense my pharmaceutical?""",medication
"""Could you dispense my mehication?""",medication
"""Is my drugs available for pickup?""",medication
"""Is my medicatZon available for pickup?""",medication
"""Could I see a medical, please?""",doctor
"""Could I see a doctor, pleas?""",doctor
"""Is there a doctors available?""",doctor
"""Is there a dotcor available?""",doctor
"""I need to speak with a medic.""",doctor
"""I need to speka with a doctor.""",doctor
"""Can I make an nomination to see a doctor?""",doctor
"""Can I make an appointment to ese a doctor?""",doctor
"""May I schedules a consultation with a doctor?""",doctor
"""Pay I schedule a consultation with a doctor?""",doctor
"""Is it possible to meet with a medic?""",doctor
"""Is it possible to meeo with a physician?""",doctor
"""I would like to request a doctor's nominations.""",doctor
"""I would like to reques a doctor's appointment.""",doctor
"""Could you organised for me to see a doctor?""",doctor
"""Could you arrnage for me to see a doctor?""",doctor
"""Is there a doctor on duties right now?""",doctor
"""Is there a doctor on duEy right now?""",doctor
"""Can I speak to a healthcare salesperson?""",doctor
"""Can I speak to a healthcare prvoider?""",doctor
"""I need medical assistance from a medical.""",doctor
"""I need medical assistance from a docRor.""",doctor
"""May I have a doctor's query, please?""",doctor
"""AMay I have a doctor's consultation, please?""",doctor
"""Is a physician availability to see me?""",doctor
"""Is a physcian available to see me?""",doctor
"""Could you pomoc me book an appointment with a doctor?""",doctor
"""Could you help me booy an appointment with a doctor?""",doctor
"""I'm looking to consults a healthcare professional.""",doctor
"""I'm looking to see a hhealthcare professional.""",doctor
"""Can you direct me to a doctors?""",doctor
"""Can you diect me to a doctor?""",doctor
"""Is there a physician I can speaks with?""",doctor
"""sI there a physician I can speak with?""",doctor
"""I require the attention of a physician.""",doctor
"""I requier the attention of a doctor.""",doctor
"""I require to consult with a medical doctor.""",doctor
"""I ned to consult with a medical doctor.""",doctor
"""Are there any doctors in the clinic/clinic?""",doctor
"""Are there any doctors in the clinic/hospcital?""",doctor
"""I have a fever and goosebumps.""",symptoms
"""I have a fever and chils.""",symptoms
"""I'm experiencing nausea and puking.""",symptoms
"""I'm experiencing nauea and vomiting.""",symptoms
"""I have a ceaseless headache.""",symptoms
"""I have a persistent haedache.""",symptoms
"""My larynx is sore and scratchy.""",symptoms
"""My throat is sore and scrNatchy.""",symptoms
"""I feel jaded and weak.""",symptoms
"""I feel fatgiued and weak.""",symptoms
"""I have a runny nose and overpopulation.""",symptoms
"""I have a runny noqe and congestion.""",symptoms
"""I'm coughs and wheezing.""",symptoms
"""I'm coughing and wjeezing.""",symptoms
"""I have muscle evils and pains.""",symptoms
"""I have muscle ahces and pains.""",symptoms
"""I feel dizzy and woozy.""",symptoms
"""I feel dizzy and lihtheaded.""",symptoms
"""I have abdominal heartbreak and cramping.""",symptoms
"""I have abdominal pani and cramping.""",symptoms
"""I'm experiencing diarrhoea.""",symptoms
"""I' experiencing diarrhea.""",symptoms
"""I feel succinct of breath.""",symptoms
"""I feel shot of breath.""",symptoms
"""I have torso tightness and discomfort.""",symptoms
"""I have chest tightenss and discomfort.""",symptoms
"""My joints are swollen and hurtful.""",symptoms
"""My joints are swollen and painfJl.""",symptoms
"""I have a impulsive or skin irritation.""",symptoms
"""I have a rcash or skin irritation.""",symptoms
"""I feel extraordinarily tired and lethargic.""",symptoms
"""I feel extremely tired and lehargic.""",symptoms
"""I'm experiencing sensitivity to light/sonora.""",symptoms
"""I'm experiencing sensitivity to light/nBoise.""",symptoms
"""I have trouble concentrating or idea clearly.""",symptoms
"""I have trouble cPoncentrating or thinking clearly.""",symptoms
"""I'm feeling unusually cold or hotter.""",symptoms
"""I'm feelinu unusually cold or hot.""",symptoms
"""I have digestive issues such as bloating or constipation.""",symptoms
"""I have digestive issues such as bloatxing or indigestion.""",symptoms
